img_id,relative_depth,num_of_pixel,real_depth,distance_from_center
10cm4,0.27460662,2007390,"(0.09318923762168982, np.float64(0.09310479884209347))",0.33448532291521144
15cm3,0.49699637,377487,"(0.1342960699899243, np.float64(0.13418901397797386))",0.26079453801287
20cm4,0.4629612,438059,"(0.1992467016222336, np.float64(0.19930658167482737))",0.46092687401212135
25cm1,0.7681509,289379,"(0.24457634385826935, np.float64(0.24521918152032646))",0.2719592662665323
30cm1,0.6183984,186188,"(0.30506208374089466, np.float64(0.305711728716641))",0.34687816751165057
35cm4,0.75005513,140131,"(0.34971665060810075, np.float64(0.35238777514817177))",0.28229949171805235
40cm4,0.66193134,108186,"(0.39377696709909094, np.float64(0.4010535938483929))",0.289986332046714
45cm2,0.84789276,67888,"(0.4700311371496826, np.float64(0.48096673719052113))",0.20813525790464585
45cm3,0.84946656,31800,"(0.44506619767702965, np.float64(0.46233247667507693))",0.20931937492668917
50cm2,0.79388654,48855,"(0.546276045839722, np.float64(0.5669660326533632))",0.29776020237957246
55cm4,0.91834444,48921,"(0.584332830680278, np.float64(0.5964036344236604))",0.344123372095558
60cm1,1.0332412,16603,"(0.9864762940197954, np.float64(1.0237517575262889))",0.2813769131088881
60cm3,1.0138474,13008,"(0.69885112512645, np.float64(0.7228741547826455))",0.31545507710826076
65cm2,1.0159544,29711,"(0.7188916148384249, np.float64(0.7270309760626948))",0.303396515915035
70cm4,1.0466228,27143,"(0.786595229290567, np.float64(0.800680074571265))",0.23350828214800587
75cm1,1.1832316,27308,"(0.7874691878310375, np.float64(0.7982574808422065))",0.27189217543853006
80cm3,1.304908,9436,"(0.8366660387248763, np.float64(0.8487386811375559))",0.1922329986337519
85cm2,1.4358954,19477,"(0.8819341658890274, np.float64(0.8979466146503384))",0.2351216398252743
90cm4,1.6238413,16373,"(1.0017736374599922, np.float64(1.0309172661227355))",0.2750749440237069
