Image_ID,ellipse_diameter,circle_diameter,real_depth,relative_depth,number_of_pixel,Target_Diameter,Circle_Error_Metric,Circle_Error_Percent,Ellipse_Error_Metric,Ellipse_Error_Percent
1,0.03612302,0.035806965749977,0.6993414,1.332994,28511,0.04,-0.0041930342500230006,-10.482585625057501,-0.0041930342500230006,-10.482585625057501
10,0.052214254,0.05097425809293727,0.7971238,1.4698205,44474,0.04,0.01097425809293727,27.435645232343177,0.01097425809293727,27.435645232343177
11,0.048020247,0.04702759456457461,0.73058486,1.3767128,45063,0.04,0.007027594564574607,17.56898641143652,0.007027594564574607,17.56898641143652
12,0.027889475,0.026881943874059573,0.44351518,0.9750173,39954,0.04,-0.013118056125940428,-32.79514031485107,-0.013118056125940428,-32.79514031485107
13,0.047587577,0.0475328132870087,0.984674,1.7322588,25343,0.04,0.007532813287008701,18.83203321752175,0.007532813287008701,18.83203321752175
14,0.05233824,0.051846929186057926,0.9767703,1.7211992,30642,0.04,0.011846929186057925,29.617322965144808,0.011846929186057925,29.617322965144808
15,0.029558629,0.015341733047595387,0.38051653,0.8868636,17679,0.04,-0.02465826695240461,-61.64566738101153,-0.02465826695240461,-61.64566738101153
17,0.0541156,0.05432352416813529,0.5784048,1.1637678,95933,0.04,0.014323524168135288,35.80881042033822,0.014323524168135288,35.80881042033822
18,0.0536089,0.053658688668139255,0.60483754,1.2007551,85597,0.04,0.013658688668139254,34.146721670348136,0.013658688668139254,34.146721670348136
2,0.035323285,0.03500260565975215,0.7789546,1.4443965,21960,0.04,-0.004997394340247853,-12.493485850619631,-0.004997394340247853,-12.493485850619631
26,0.039446447,0.038988325110144356,0.6936429,1.3250201,34360,0.04,-0.0010116748898556446,-2.5291872246391116,-0.0010116748898556446,-2.5291872246391116
27,0.04177464,0.04119008409378468,0.2990144,0.7728179,206375,0.04,0.0011900840937846824,2.9752102344617057,0.0011900840937846824,2.9752102344617057
28,0.036503915,0.03574810575197315,0.32320285,0.80666476,133049,0.04,-0.004251894248026848,-10.62973562006712,-0.004251894248026848,-10.62973562006712
3,0.03543855,0.03469719042706902,0.58717513,1.1760402,37976,0.04,-0.005302809572930979,-13.257023932327447,-0.005302809572930979,-13.257023932327447
4,0.03243562,0.03205860479188798,0.27596307,0.7405623,146772,0.04,-0.007941395208112018,-19.853488020280043,-0.007941395208112018,-19.853488020280043
5,0.024755582,0.024406031423036673,0.15889287,0.57674646,256591,0.04,-0.015593968576963328,-38.984921442408314,-0.015593968576963328,-38.984921442408314
6,0.03355464,0.033203607691210474,0.5895184,1.1793191,34501,0.04,-0.006796392308789527,-16.990980771973817,-0.006796392308789527,-16.990980771973817
7,0.035003606,0.03441780719716281,0.39327276,0.9047133,83298,0.04,-0.005582192802837192,-13.955482007092982,-0.005582192802837192,-13.955482007092982
9,0.05083785,0.0497799801909699,0.4521513,0.9871018,131825,0.04,0.0097799801909699,24.44995047742475,0.0097799801909699,24.44995047742475
